StageCode,PointIndex,x,y,PointsInStage,elevation
51,0,-5.907527,54.359897,760,121.0
51,1,-5.907598,54.35988,760,121.0
51,2,-5.907756,54.359828,760,121.0
51,3,-5.907839,54.359793,760,121.0
51,4,-5.907883,54.359775,760,121.0
51,5,-5.907935,54.359753,760,121.0
51,6,-5.90814,54.359622,760,121.0
51,7,-5.90833,54.359473,760,121.0
51,8,-5.908518,54.359374,760,121.0
51,9,-5.908704,54.359299,760,121.0
51,10,-5.908863,54.359259,760,120.0
51,11,-5.909078,54.359232,760,120.0
51,12,-5.909292,54.359212,760,120.0
51,13,-5.909556,54.359194,760,120.0
51,14,-5.909774,54.359168,760,120.0
51,15,-5.909985,54.359109,760,121.0
51,16,-5.910153,54.359056,760,123.0
51,17,-5.910323,54.358973,760,123.0
51,18,-5.910463,54.358885,760,123.0
51,19,-5.910578,54.358792,760,123.0
51,20,-5.910798,54.358633,760,123.0
51,21,-5.910949,54.358535,760,123.0
51,22,-5.911138,54.358486,760,123.0
51,23,-5.911284,54.358482,760,128.0
51,24,-5.911484,54.358497,760,128.0
51,25,-5.911563,54.358496,760,128.0
51,26,-5.91162,54.358481,760,128.0
51,27,-5.911677,54.35845,760,128.0
51,28,-5.911744,54.358391,760,128.0
51,29,-5.9118,54.358333,760,128.0
51,30,-5.911882,54.358283,760,130.0
51,31,-5.912015,54.358245,760,130.0
51,32,-5.912195,54.358216,760,130.0
51,33,-5.912211,54.358213,760,130.0
51,34,-5.912485,54.358173,760,130.0
51,35,-5.91284,54.358126,760,132.0
51,36,-5.913195,54.358137,760,132.0
51,37,-5.913525,54.358111,760,132.0
51,38,-5.91398,54.358054,760,136.0
51,39,-5.914257,54.357992,760,136.0
51,40,-5.914391,54.357963,760,136.0
51,41,-5.914839,54.357847,760,136.0
51,42,-5.915198,54.357763,760,142.0
51,43,-5.91537,54.357721,760,142.0
51,44,-5.91543,54.357698,760,142.0
51,45,-5.915471,54.357673,760,142.0
51,46,-5.915497,54.357634,760,142.0
51,47,-5.915536,54.35753,760,142.0
51,48,-5.915579,54.357386,760,143.0
51,49,-5.915617,54.357239,760,143.0
51,50,-5.915661,54.357122,760,143.0
51,51,-5.915763,54.356886,760,143.0
51,52,-5.915823,54.356719,760,143.0
51,53,-5.91587,54.356579,760,141.0
51,54,-5.915946,54.356434,760,141.0
51,55,-5.916021,54.356315,760,141.0
51,56,-5.916106,54.356182,760,141.0
51,57,-5.916193,54.356059,760,141.0
51,58,-5.916281,54.35597,760,150.0
51,59,-5.916359,54.355925,760,150.0
51,60,-5.916487,54.355895,760,150.0
