StageCode,PointIndex,x,y,PointsInStage,elevation
61,0,-2.50068,55.094908,626,291.0
61,1,-2.500615,55.095073,626,288.0
61,2,-2.50054,55.095368,626,288.0
61,3,-2.500551,55.095724,626,288.0
61,4,-2.500626,55.095957,626,286.0
61,5,-2.500787,55.096277,626,286.0
61,6,-2.500894,55.096528,626,286.0
61,7,-2.500947,55.097627,626,298.0
61,8,-2.500754,55.097897,626,298.0
61,9,-2.50025,55.098352,626,296.0
61,10,-2.499939,55.098812,626,299.0
61,11,-2.499832,55.09945,626,301.0
61,12,-2.499787,55.099999,626,304.0
61,13,-2.499733,55.100343,626,304.0
61,14,-2.49969,55.100552,626,304.0
61,15,-2.499497,55.100785,626,304.0
61,16,-2.498778,55.101393,626,305.0
61,17,-2.497791,55.102234,626,312.0
61,18,-2.496858,55.103044,626,329.0
61,19,-2.496579,55.103295,626,329.0
61,20,-2.496418,55.103596,626,326.0
61,21,-2.496182,55.104192,626,319.0
61,22,-2.495817,55.105278,626,311.0
61,23,-2.495699,55.105658,626,311.0
61,24,-2.49572,55.105929,626,307.0
61,25,-2.495838,55.106284,626,307.0
61,26,-2.496064,55.106751,626,305.0
61,27,-2.496139,55.107003,626,305.0
61,28,-2.496042,55.107377,626,305.0
61,29,-2.495989,55.107745,626,303.0
61,30,-2.495849,55.107954,626,303.0
61,31,-2.495645,55.108169,626,303.0
61,32,-2.494873,55.108641,626,303.0
61,33,-2.494261,55.109009,626,303.0
61,34,-2.493896,55.109292,626,303.0
61,35,-2.493596,55.109574,626,305.0
61,36,-2.493339,55.110028,626,304.0
61,37,-2.493221,55.110304,626,304.0
61,38,-2.493135,55.110673,626,304.0
61,39,-2.49306,55.110906,626,307.0
61,40,-2.492791,55.111384,626,307.0
61,41,-2.492566,55.111679,626,303.0
61,42,-2.492523,55.111845,626,303.0
61,43,-2.492566,55.112391,626,303.0
61,44,-2.492566,55.112618,626,302.0
61,45,-2.49247,55.112931,626,304.0
61,46,-2.492384,55.113262,626,304.0
61,47,-2.492373,55.113649,626,304.0
61,48,-2.492416,55.113956,626,304.0
61,49,-2.492577,55.114367,626,301.0
61,50,-2.492695,55.114532,626,301.0
61,51,-2.492995,55.1146,626,301.0
61,52,-2.493542,55.114667,626,301.0
61,53,-2.494175,55.114772,626,297.0
61,54,-2.494615,55.114833,626,297.0
61,55,-2.494907,55.114843,626,297.0
61,56,-2.495399,55.114833,626,295.0
61,57,-2.495742,55.114864,626,295.0
61,58,-2.495871,55.114987,626,295.0
61,59,-2.495965,55.115141,626,297.0
61,60,-2.496006,55.115221,626,297.0
61,61,-2.496064,55.115336,626,297.0
61,62,-2.49616,55.115526,626,297.0
61,63,-2.496418,55.115717,626,296.0
61,64,-2.496879,55.115931,626,300.0
61,65,-2.497748,55.116336,626,297.0
61,66,-2.498092,55.116565,626,297.0
61,67,-2.497631,55.116709,626,300.0
61,68,-2.497609,55.116716,626,300.0
61,69,-2.496936,55.116964,626,304.0
61,70,-2.496384,55.117237,626,304.0
61,71,-2.495701,55.117653,626,315.0
61,72,-2.495107,55.117999,626,315.0
61,73,-2.495023,55.118104,626,315.0
61,74,-2.493886,55.118226,626,319.0
61,75,-2.493414,55.118312,626,317.0
61,76,-2.492909,55.118533,626,332.0
61,77,-2.492418,55.118837,626,328.0
61,78,-2.491932,55.119001,626,328.0
61,79,-2.490991,55.119255,626,329.0
61,80,-2.490455,55.119347,626,329.0
61,81,-2.489618,55.119298,626,335.0
61,82,-2.488953,55.119181,626,335.0
61,83,-2.487794,55.11904,626,326.0
61,84,-2.486571,55.118923,626,329.0
61,85,-2.484811,55.118659,626,333.0
61,86,-2.483856,55.118537,626,333.0
61,87,-2.482996,55.118386,626,334.0
61,88,-2.482299,55.118318,626,310.0
61,89,-2.480625,55.11814,626,310.0
61,90,-2.478962,55.117981,626,309.0
61,91,-2.478189,55.117981,626,306.0
61,92,-2.47716,55.118012,626,300.0
61,93,-2.476366,55.117969,626,300.0
61,94,-2.474338,55.117748,626,296.0
61,95,-2.473544,55.117699,626,293.0
61,96,-2.472171,55.117668,626,287.0
61,97,-2.470711,55.117625,626,284.0
61,98,-2.470282,55.117643,626,284.0
61,99,-2.469424,55.117821,626,282.0
61,100,-2.467997,55.11814,626,279.0
61,101,-2.466581,55.118374,626,295.0
61,102,-2.464156,55.118717,626,289.0
61,103,-2.463244,55.118963,626,284.0
61,104,-2.462686,55.119128,626,284.0
61,105,-2.46171,55.119318,626,286.0
61,106,-2.461334,55.11941,626,286.0
61,107,-2.460197,55.120159,626,275.0
61,108,-2.459672,55.120398,626,273.0
61,109,-2.459287,55.120506,626,273.0
61,110,-2.459146,55.120545,626,273.0
61,111,-2.45788,55.120705,626,274.0
61,112,-2.454414,55.121146,626,270.0
61,113,-2.45155,55.121515,626,267.0
61,114,-2.449972,55.121729,626,265.0
61,115,-2.448557,55.121618,626,261.0
61,116,-2.44699,55.121496,626,251.0
61,117,-2.446711,55.12157,626,251.0
61,118,-2.446132,55.121913,626,254.0
61,119,-2.446003,55.122073,626,254.0
61,120,-2.445488,55.123042,626,262.0
61,121,-2.445122,55.123238,626,262.0
61,122,-2.444307,55.123569,626,268.0
61,123,-2.444007,55.123778,626,268.0
61,124,-2.443064,55.12438,626,271.0
61,125,-2.442247,55.124796,626,259.0
61,126,-2.441761,55.125017,626,275.0
61,127,-2.441626,55.125079,626,275.0
